KEY,trip_id,trip_revenue,trip_cost,trip_distance,trip_orgn_zip,trip_dst_zip,MARGIN_RANK,must_take_flag,deadhead_cost,tour_id,tour_position,prior_two_trips,next_two_trips,prior_zip,next_zip,accepted
A0468172,A0468172,912,1092,481,56303,60446,1,False,,,,,,,,0
A0468170,A0468170,912,1092,481,56303,60446,2,False,,,,,,,,0
A0468165,A0468165,912,1092,481,56303,60446,3,False,,,,,,,,0
A0468167,A0468167,912,1092,481,56303,60446,4,False,,,,,,,,0
A0468841,A0468841,912,1092,481,56303,60446,5,False,,,,,,,,0
A0466758,A0466758,912,1092,481,56303,60446,6,False,,,,,,,,0
A0467401,A0467401,912,1092,481,56303,60446,7,False,,,,,,,,0
A0467391,A0467391,912,1092,481,56303,60446,8,False,,,,,,,,0
A0465351,A0465351,912,1092,481,56303,60446,9,False,,,,,,,,0
A0466757,A0466757,912,1092,481,56303,60446,10,False,,,,,,,,0
A0467424,A0467424,912,1092,481,56303,60446,11,False,,,,,,,,0
A0467403,A0467403,912,1092,481,56303,60446,12,False,,,,,,,,0
A0467404,A0467404,912,1092,481,56303,60446,13,False,,,,,,,,0
A0467974,A0467974,912,1092,481,56303,60446,14,False,,,,,,,,0
A0467421,A0467421,750,914,387,56303,61073,1,False,,,,,,,,0
A0469294,A0469294,1014,1179,529,76011,66049,1,False,0.0,5.0,78.0,['A0468867' 'A0469039'],['A0467965' 'A0467766'],76051,66021,1
A0469693,A0469693,1014,1179,529,76011,66049,2,False,0.0,0.0,390.0,['A0469665' 'A0469656'],['A0467332' 'A0467439'],76052,66031,1
A0469694,A0469694,1014,1179,529,76011,66049,3,False,,,,,,,,0
A0470205,A0470205,1014,1179,529,76011,66049,4,False,0.0,2.0,85.0,['A0467802' 'A0467709'],['A0467867' 'A0468780'],76051,64504,1
A0470206,A0470206,1014,1179,529,76011,66049,5,False,0.0,0.0,209.0,['A0462565' 'A0467540'],['A0466574' 'A0467341'],76051,66031,1
A0465223,A0465223,1014,1179,529,76011,66049,6,False,0.0,2.0,54.0,['A0466316' 'A0466619'],['A0470782' 'A0467319'],76051,66021,1
A0464921,A0464921,1014,1179,529,76011,66049,7,False,0.0,0.0,434.0,['A0469600' 'A0469212'],['A0466729' 'A0468713'],76051,66021,1
A0467685,A0467685,1014,1179,529,76011,66049,8,False,0.0,0.0,487.0,['A0469801' 'A0467695'],['A0468856' 'A0469733'],76051,64504,1
A0469695,A0469695,1014,1179,529,76011,66049,9,False,,,,,,,,0
A0467687,A0467687,1014,1179,529,76011,66049,10,False,,,,,,,,0
A0467684,A0467684,1014,1179,529,76011,66049,11,False,,,,,,,,0
A0467689,A0467689,1014,1179,529,76011,66049,12,False,,,,,,,,0
A0465355,A0465355,992,865,372,41094,61362,1,False,0.0,0.0,257.0,['A0468060' 'A0470057'],['A0466548' 'A0468062'],41018,61354,1
A0469696,A0469696,992,865,372,41094,61362,2,False,53.79119873046875,0.0,370.0,['A0464887' 'A0469439'],['A0457061' 'A0467478'],45213,61354,1
A0469004,A0469004,992,865,372,41094,61362,3,False,0.0,3.0,81.0,['A0468190' 'A0468400'],['A0469915' 'A0469246'],41042,61354,1
A0465956,A0465956,992,865,372,41094,61362,4,False,0.0,2.0,97.0,['A0466576' 'A0470481'],['A0467511' 'A0467663'],41048,61354,1
A0466332,A0466332,992,865,372,41094,61362,5,False,0.0,0.0,652.0,['A0465168' 'A0467034'],['A0466492' 'A0467029'],41018,61354,1
A0469894,A0469894,804,860,371,45356,60115,1,False,0.0,0.0,353.0,['A0468054' 'A0467736'],['A0467139' 'A0465326'],45305,61109,1
A0469895,A0469895,804,860,371,45356,60115,2,False,0.0,4.0,9.0,['A0469678' 'A0469441'],['A0467167' 'A0468548'],45356,60188,1
A0469892,A0469892,804,860,371,45356,60115,3,False,0.0,3.0,53.0,['A0468269' 'A0469126'],['A0468577' 'A0467054'],45377,61109,1
A0468657,A0468657,804,860,371,45356,60115,4,False,0.0,4.0,15.0,['A0466485' 'A0466647'],['A0469053' 'A0466801'],45371,60050,1
A0468097,A0468097,600,562,250,45356,47546,1,False,0.0,0.0,396.0,['A0469730' 'A0470066'],['A0469249' 'A0465678'],45356,42303,1
A0469417,A0469417,1129,1039,440,55429,60436,1,False,0.0,3.0,92.0,['A0466623' 'A0466197'],['A0466363' 'A0466774'],55431,60436,1
A0469386,A0469386,1129,1039,440,55429,60436,2,False,0.0,0.0,663.0,['A0467619' 'A0467252'],['A0470303' 'A0469189'],55431,60436,1
A0469424,A0469424,1129,1039,440,55429,60436,3,False,0.0,0.0,500.0,['A0469718' 'A0466657'],['A0468960' 'A0466388'],55413,60436,1
A0468017,A0468017,1129,1039,440,55429,60436,4,False,0.0,5.0,85.0,['A0467104' 'A0465137'],['A0466992' 'A0466200'],55431,60436,1
A0469304,A0469304,800,708,309,45014,16117,1,False,,,,,,,,0
A0466881,A0466881,1840,2306,1085,45014,77041,1,False,,,,,,,,0
A0468343,A0468343,1900,2098,954,45014,75042,1,False,,,,,,,,0
A0466448,A0466448,740,887,389,56013,61068,1,False,,,,,,,,0
A0466639,A0466639,740,887,389,56013,61068,2,False,,,,,,,,0
A0466638,A0466638,740,887,389,56013,61068,3,False,,,,,,,,0
A0470409,A0470409,683,752,341,44646,40258,1,False,25.256799697875977,4.0,37.0,['A0469315' 'A0470050'],['A0467862' 'A0467457'],44720,40258,1
A0469007,A0469007,683,752,341,44646,40258,2,False,0.0,3.0,2.0,['A0468093' 'A0469924'],['A0469268' 'A0467893'],44647,40258,1
A0468987,A0468987,683,752,341,44646,40258,3,False,0.0,0.0,739.0,['A0467908' 'A0466755'],['A0466840' 'A0468214'],44601,40258,1
A0469451,A0469451,780,722,304,63118,38654,1,False,0.0,0.0,522.0,['A0466525' 'A0466430'],['A0468674' 'A0467385'],63132,38106,1
A0470618,A0470618,800,1025,471,63118,54656,1,False,,,,,,,,0
A0468285,A0468285,746,811,366,63118,53590,1,False,0.0,0.0,19.0,['A0467507' 'A0468768'],['A0467500' 'A0466049'],63132,53511,1
A0468524,A0468524,700,900,411,45069,60803,1,False,,,,,,,,0
A0468446,A0468446,700,900,411,45069,60803,2,False,,,,,,,,0
A0468453,A0468453,580,903,434,45069,60119,1,False,,,,,,,,0
A0469022,A0469022,1400,1691,788,43420,66067,1,False,,,,,,,,0
A0467498,A0467498,1400,1691,788,43420,66067,2,False,,,,,,,,0
A0468492,A0468492,1500,1686,764,43420,66030,1,False,,,,,,,,0
A0467469,A0467469,825,842,349,49346,61081,1,False,122.4280014038086,0.0,627.0,['A0468384' 'A0466281'],['A0468390' 'A0468015'],48867,61021,1
