KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggLdMargin,AggOrgZip,AggDstZip
0000536_37716_45424,6772340,1020,558,346,462,37716,45424
0001241_42066_37115,6768328,679,342,195,336,42066,37115
0001241_42066_37115,6772535,679,342,195,336,42066,37115
0002991_47201_35401,6766667,1600,801,493,798,47201,35401
0002991_47201_35401,6769864,1600,801,493,798,47201,35401
0002991_47201_35401,6769984,1600,801,493,798,47201,35401
0002991_47201_35401,6773092,1600,801,493,798,47201,35401
0002991_47201_35401,6772631,1600,801,493,798,47201,35401
0002991_47201_35401,6772751,1600,801,493,798,47201,35401
0002991_47201_35401,6774698,1600,801,493,798,47201,35401
0002991_47201_35401,6774819,1600,801,493,798,47201,35401
0003249_40601_45373,6768759,778,304,178,474,40601,45373
0003249_40601_45373,6768760,778,304,178,474,40601,45373
0003327_37040_77040,6772351,1573,1309,824,264,37040,77040
0003327_37040_30103,6774453,655,420,238,235,37040,30103
0003327_37040_30103,6776377,655,420,238,235,37040,30103
0003327_37040_30103,6776378,655,420,238,235,37040,30103
0003327_37040_77040,6776748,1573,1309,824,264,37040,77040
0003327_37040_30103,6778749,655,420,238,235,37040,30103
0003508_38118_38118,6771092,1877,1829,932,48,38118,38118
0003681_28273_45373,6767888,1617,831,503,785,28273,45373
0003681_28273_45373,6770924,1617,831,503,785,28273,45373
0003681_28273_45373,6771475,1617,831,503,785,28273,45373
0003681_28273_45373,6777839,1617,831,503,785,28273,45373
0004377_28732_38583,6770295,620,483,296,137,28732,38583
0005794_28273_21502,6766613,1937,693,425,1244,28273,21502
0005794_28273_21502,6766678,1937,693,425,1244,28273,21502
0005794_28273_21502,6766738,1937,693,425,1244,28273,21502
0005794_28273_27839,6769106,1089,436,263,653,28273,27839
0005794_28273_21502,6766796,1937,693,425,1244,28273,21502
0005794_28273_21502,6766854,1937,693,425,1244,28273,21502
0005794_28273_21502,6769812,1937,693,425,1244,28273,21502
