KEY,trip_id,trip_revenue,trip_cost,trip_distance,trip_orgn_zip,trip_dst_zip,MARGIN_RANK,must_take_flag,deadhead_cost,tour_id,tour_position,prior_two_trips,next_two_trips,prior_zip,next_zip,accepted
A0468172,A0468172,912,1092,481,56303,60446,1,False,,,,,,,,0
A0468170,A0468170,912,1092,481,56303,60446,2,False,,,,,,,,0
A0468165,A0468165,912,1092,481,56303,60446,3,False,,,,,,,,0
A0468167,A0468167,912,1092,481,56303,60446,4,False,,,,,,,,0
A0468841,A0468841,912,1092,481,56303,60446,5,False,,,,,,,,0
A0466758,A0466758,912,1092,481,56303,60446,6,False,,,,,,,,0
A0467401,A0467401,912,1092,481,56303,60446,7,False,,,,,,,,0
A0467391,A0467391,912,1092,481,56303,60446,8,False,,,,,,,,0
A0465351,A0465351,912,1092,481,56303,60446,9,False,,,,,,,,0
A0466757,A0466757,912,1092,481,56303,60446,10,False,,,,,,,,0
A0467424,A0467424,912,1092,481,56303,60446,11,False,,,,,,,,0
A0467403,A0467403,912,1092,481,56303,60446,12,False,,,,,,,,0
A0467404,A0467404,912,1092,481,56303,60446,13,False,,,,,,,,0
A0467974,A0467974,912,1092,481,56303,60446,14,False,,,,,,,,0
A0467421,A0467421,750,914,387,56303,61073,1,False,354.1736145019531,6.0,23.0,['A0469892' 'A0470242'],['A0468014' 'A0469249'],55792,61080,1
A0469294,A0469294,1014,1179,529,76011,66049,1,False,0.0,1.0,565.0,['A0466549' 'A0467695'],['A0466574' 'A0468425'],76051,66031,1
A0469693,A0469693,1014,1179,529,76011,66049,2,False,0.0,2.0,238.0,['A0466770' 'A0466632'],['A0470045' 'A0469267'],76051,66021,1
A0469694,A0469694,1014,1179,529,76011,66049,3,False,0.0,1.0,511.0,['A0465472' 'A0469129'],['A0468440' 'A0467858'],76051,66031,1
A0470205,A0470205,1014,1179,529,76011,66049,4,False,,,,,,,,0
A0470206,A0470206,1014,1179,529,76011,66049,5,False,,,,,,,,0
A0465223,A0465223,1014,1179,529,76011,66049,6,False,0.0,1.0,486.0,['A0469599' 'A0469212'],['A0467215' 'A0467058'],76051,66021,1
A0464921,A0464921,1014,1179,529,76011,66049,7,False,0.0,1.0,355.0,['A0466705' 'A0469725'],['A0470782' 'A0467107'],76051,66021,1
A0467685,A0467685,1014,1179,529,76011,66049,8,False,0.0,2.0,263.0,['A0468890' 'A0467709'],['A0470360' 'A0469745'],76051,66021,1
A0469695,A0469695,1014,1179,529,76011,66049,9,False,,,,,,,,0
A0467687,A0467687,1014,1179,529,76011,66049,10,False,0.0,1.0,297.0,['A0466699' 'A0466619'],['A0468355' 'A0467310'],76051,64504,1
A0467684,A0467684,1014,1179,529,76011,66049,11,False,,,,,,,,0
A0467689,A0467689,1014,1179,529,76011,66049,12,False,0.0,1.0,582.0,['A0469600' 'A0466129'],['A0469387' 'A0466469'],76051,66031,1
A0465355,A0465355,992,865,372,41094,61362,1,False,0.0,1.0,524.0,['A0467137' 'A0470057'],['A0464534' 'A0467133'],41018,61354,1
A0469696,A0469696,992,865,372,41094,61362,2,False,0.0,1.0,80.0,['A0465170' 'A0467032'],['A0469374' 'A0468661'],41018,61354,1
A0469004,A0469004,992,865,372,41094,61362,3,False,53.79119873046875,3.0,209.0,['A0469971' 'A0467783'],['A0463722' 'A0468163'],45255,61354,1
A0465956,A0465956,992,865,372,41094,61362,4,False,0.0,3.0,114.0,['A0467134' 'A0468997'],['A0467178' 'A0468097'],41018,61354,1
A0466332,A0466332,992,865,372,41094,61362,5,False,0.0,2.0,191.0,['A0467666' 'A0468071'],['A0466281' 'A0467469'],41018,61354,1
A0469894,A0469894,804,860,371,45356,60115,1,False,0.0,2.0,324.0,['A0468339' 'A0470066'],['A0466054' 'A0468855'],45356,61109,1
A0469895,A0469895,804,860,371,45356,60115,2,False,0.0,6.0,10.0,['A0466485' 'A0466647'],['A0469277' 'A0466295'],45371,61111,1
A0469892,A0469892,804,860,371,45356,60115,3,False,0.0,6.0,21.0,['A0467735' 'A0469441'],['A0470242' 'A0467421'],45356,61102,1
A0468657,A0468657,804,860,371,45356,60115,4,False,0.0,5.0,44.0,['A0468054' 'A0467736'],['A0468251' 'A0468005'],45305,61111,1
A0468097,A0468097,600,562,250,45356,47546,1,False,0.0,3.0,116.0,['A0465956' 'A0467178'],['A0467638' 'A0465815'],45356,42303,1
A0469417,A0469417,1129,1039,440,55429,60436,1,False,0.0,5.0,104.0,['A0469297' 'A0468239'],['A0470312' 'A0467976'],55431,60436,1
A0469386,A0469386,1129,1039,440,55429,60436,2,False,0.0,1.0,607.0,['A0469171' 'A0467711'],['A0467987' 'A0467135'],55413,60436,1
A0469424,A0469424,1129,1039,440,55429,60436,3,False,0.0,3.0,188.0,['A0466147' 'A0468685'],['A0470063' 'A0465798'],55413,60436,1
A0468017,A0468017,1129,1039,440,55429,60436,4,False,0.0,3.0,110.0,['A0468990' 'A0466657'],['A0466973' 'A0467134'],55413,60436,1
A0469304,A0469304,800,708,309,45014,16117,1,False,,,,,,,,0
A0466881,A0466881,1840,2306,1085,45014,77041,1,False,,,,,,,,0
A0468343,A0468343,1900,2098,954,45014,75042,1,False,,,,,,,,0
A0466448,A0466448,740,887,389,56013,61068,1,False,,,,,,,,0
A0466639,A0466639,740,887,389,56013,61068,2,False,,,,,,,,0
A0466638,A0466638,740,887,389,56013,61068,3,False,,,,,,,,0
A0470409,A0470409,683,752,341,44646,40258,1,False,0.0,2.0,258.0,['A0466121' 'A0469924'],['A0469485' 'A0468895'],44647,40258,1
A0469007,A0469007,683,752,341,44646,40258,2,False,0.0,1.0,595.0,['A0466813' 'A0466755'],['A0466203' 'A0467274'],44601,40258,1
A0468987,A0468987,683,752,341,44646,40258,3,False,0.0,3.0,146.0,['A0468688' 'A0466763'],['A0466382' 'A0467693'],44601,40258,1
A0469451,A0469451,780,722,304,63118,38654,1,False,0.0,5.0,38.0,['A0469056' 'A0467676'],['A0466631' 'A0468542'],63103,38106,1
A0470618,A0470618,800,1025,471,63118,54656,1,False,0.0,5.0,93.0,['A0468146' 'A0469821'],['A0466284' 'A0467949'],63132,54603,1
A0468285,A0468285,746,811,366,63118,53590,1,False,0.0,1.0,338.0,['A0469548' 'A0470034'],['A0465390' 'A0468929'],63132,53546,1
A0468524,A0468524,700,900,411,45069,60803,1,False,,,,,,,,0
A0468446,A0468446,700,900,411,45069,60803,2,False,,,,,,,,0
A0468453,A0468453,580,903,434,45069,60119,1,False,,,,,,,,0
A0469022,A0469022,1400,1691,788,43420,66067,1,False,,,,,,,,0
A0467498,A0467498,1400,1691,788,43420,66067,2,False,,,,,,,,0
