993,820,1051,2188.182
993,837,299,622.518
993,838,182,378.924
993,840,621,1292.922
993,841,638,1328.316
993,843,587,1222.134
993,844,605,1259.61
993,850,1266,2635.812
993,852,1269,2642.058
993,853,1258,2619.156
993,871,1254,2610.828
993,890,943,1963.326
993,891,914,1902.948
993,894,610,1270.02
993,895,665,1384.53
993,900,1075,2238.15
993,902,1089,2267.298
993,907,1104,2298.528
993,908,1104,2298.528
993,921,1200,2498.4
993,928,1099,2288.118
993,932,973,2025.786
993,936,873,1817.586
993,939,873,1817.586
993,945,748,1557.336
993,946,750,1561.5
993,952,717,1492.794
993,953,757,1576.074
993,970,236,491.352
993,971,260,541.32
993,972,228,474.696
993,973,292,607.944
993,974,346,720.372
993,975,498,1036.836
993,976,417,868.194
993,980,221,460.122
993,981,210,437.22
993,982,274,570.468
993,983,226,470.532
993,984,242,503.844
993,985,260,541.32
993,989,91,189.462
993,992,144,299.808
993,993,10,20.82
