KEY,AggLoadID,AggTotalRev,AggLdCost,AggLdMiles,AggLdMargin,AggOrgZip,AggDstZip
Southbridge Vi_303_338,175630,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176445,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175820,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175821,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177722,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178142,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175070,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176446,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176639,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177974,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175826,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175250,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178125,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177004,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177076,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178387,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178889,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176636,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176678,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,174909,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177724,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177275,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178146,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177491,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177976,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177269,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177720,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177723,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177886,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177978,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177685,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177658,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178141,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178476,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178890,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176106,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178573,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178386,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178482,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178732,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178483,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175069,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178807,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178908,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,179189,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178480,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178468,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175854,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,179350,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177539,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178477,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176262,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176198,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178054,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178722,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177572,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,174928,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177726,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178809,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178718,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175920,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178485,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177273,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177272,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177363,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175433,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176641,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176635,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,179274,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177192,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177274,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177715,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178607,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176677,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178733,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175071,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,174671,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178808,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177362,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175524,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175724,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176428,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175614,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176288,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176516,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176890,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177077,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177229,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177408,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178324,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175822,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177897,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176633,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178396,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178563,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178616,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178812,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175919,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176335,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175629,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175823,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177717,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176638,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177975,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177540,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177268,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177542,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177543,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178145,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,174925,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177719,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176336,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178385,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178906,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,179135,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176569,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178241,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178294,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,179184,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,179312,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,179058,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,178481,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,177075,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,175175,1834,780,465,1054,30301,33809
Southbridge Vi_303_338,176030,1834,780,465,1054,30301,33809
Buy n Large_320_361,176612,807,641,371,166,32068,36104
Buy n Large_320_361,176829,807,641,371,166,32068,36104
Buy n Large_320_361,174885,807,641,371,166,32068,36104
Buy n Large_320_361,175218,807,641,371,166,32068,36104
Buy n Large_320_361,174888,807,641,371,166,32068,36104
Buy n Large_320_361,175401,807,641,371,166,32068,36104
Buy n Large_320_361,175637,807,641,371,166,32068,36104
Buy n Large_320_361,175026,807,641,371,166,32068,36104
Buy n Large_320_361,176456,807,641,371,166,32068,36104
Buy n Large_320_361,176457,807,641,371,166,32068,36104
Buy n Large_320_361,176495,807,641,371,166,32068,36104
Buy n Large_320_361,176594,807,641,371,166,32068,36104
Buy n Large_320_361,174964,807,641,371,166,32068,36104
Buy n Large_320_361,175166,807,641,371,166,32068,36104
Buy n Large_320_361,178799,807,641,371,166,32068,36104
Buy n Large_320_361,178945,807,641,371,166,32068,36104
Buy n Large_320_361,175025,807,641,371,166,32068,36104
Buy n Large_320_361,179239,807,641,371,166,32068,36104
Buy n Large_320_361,175377,807,641,371,166,32068,36104
Buy n Large_320_361,175451,807,641,371,166,32068,36104
Buy n Large_320_361,175636,807,641,371,166,32068,36104
Buy n Large_320_361,176179,807,641,371,166,32068,36104
Buy n Large_320_361,176238,807,641,371,166,32068,36104
Buy n Large_320_361,175165,807,641,371,166,32068,36104
Buy n Large_320_361,175220,807,641,371,166,32068,36104
Buy n Large_320_361,176441,807,641,371,166,32068,36104
Buy n Large_320_361,175845,807,641,371,166,32068,36104
Buy n Large_320_361,178726,807,641,371,166,32068,36104
Buy n Large_320_361,176290,807,641,371,166,32068,36104
Buy n Large_320_361,178514,807,641,371,166,32068,36104
Buy n Large_320_361,177703,807,641,371,166,32068,36104
Buy n Large_320_361,179142,807,641,371,166,32068,36104
Buy n Large_320_361,179137,807,641,371,166,32068,36104
Buy n Large_320_361,177150,807,641,371,166,32068,36104
Buy n Large_320_361,178637,807,641,371,166,32068,36104
Buy n Large_320_361,177490,807,641,371,166,32068,36104
Buy n Large_320_361,177214,807,641,371,166,32068,36104
Buy n Large_320_361,176237,807,641,371,166,32068,36104
Buy n Large_320_361,177422,807,641,371,166,32068,36104
Buy n Large_320_361,177564,807,641,371,166,32068,36104
Buy n Large_320_361,177423,807,641,371,166,32068,36104
Buy n Large_320_361,177072,807,641,371,166,32068,36104
Buy n Large_320_361,179160,807,641,371,166,32068,36104
Buy n Large_320_361,177794,807,641,371,166,32068,36104
Buy n Large_320_361,177935,807,641,371,166,32068,36104
Buy n Large_320_361,177942,807,641,371,166,32068,36104
Buy n Large_320_361,175912,807,641,371,166,32068,36104
Buy n Large_320_361,178730,807,641,371,166,32068,36104
Buy n Large_320_361,178798,807,641,371,166,32068,36104
Buy n Large_320_361,178467,807,641,371,166,32068,36104
Buy n Large_320_361,178791,807,641,371,166,32068,36104
Buy n Large_320_361,178240,807,641,371,166,32068,36104
Buy n Large_320_361,178296,807,641,371,166,32068,36104
Buy n Large_320_361,176830,807,641,371,166,32068,36104
Buy n Large_320_361,179143,807,641,371,166,32068,36104
Buy n Large_320_361,176878,807,641,371,166,32068,36104
Buy n Large_320_361,176615,807,641,371,166,32068,36104
Buy n Large_320_361,178877,807,641,371,166,32068,36104
Buy n Large_320_361,176600,807,641,371,166,32068,36104
Buy n Large_320_361,176828,807,641,371,166,32068,36104
Buy n Large_320_361,175988,807,641,371,166,32068,36104
Buy n Large_320_361,175450,807,641,371,166,32068,36104
Buy n Large_320_361,175788,807,641,371,166,32068,36104
Buy n Large_320_361,175846,807,641,371,166,32068,36104
Buy n Large_320_361,175908,807,641,371,166,32068,36104
Buy n Large_320_361,176233,807,641,371,166,32068,36104
Buy n Large_320_361,176268,807,641,371,166,32068,36104
Buy n Large_320_361,175383,807,641,371,166,32068,36104
Buy n Large_320_361,177563,807,641,371,166,32068,36104
Buy n Large_320_361,174889,807,641,371,166,32068,36104
Buy n Large_320_361,176234,807,641,371,166,32068,36104
Buy n Large_320_361,175711,807,641,371,166,32068,36104
Buy n Large_320_361,176178,807,641,371,166,32068,36104
Buy n Large_320_361,175986,807,641,371,166,32068,36104
Buy n Large_320_361,177702,807,641,371,166,32068,36104
Buy n Large_320_361,175001,807,641,371,166,32068,36104
Buy n Large_320_361,174949,807,641,371,166,32068,36104
Buy n Large_320_361,176296,807,641,371,166,32068,36104
Buy n Large_320_361,174651,807,641,371,166,32068,36104
Buy n Large_320_361,175400,807,641,371,166,32068,36104
Buy n Large_320_361,175987,807,641,371,166,32068,36104
Buy n Large_320_361,176291,807,641,371,166,32068,36104
Buy n Large_320_361,175449,807,641,371,166,32068,36104
Buy n Large_320_361,175712,807,641,371,166,32068,36104
Buy n Large_320_361,176439,807,641,371,166,32068,36104
Buy n Large_320_361,176833,807,641,371,166,32068,36104
Buy n Large_320_361,175221,807,641,371,166,32068,36104
Buy n Large_320_361,175382,807,641,371,166,32068,36104
Buy n Large_320_361,174724,807,641,371,166,32068,36104
Buy n Large_320_361,176079,807,641,371,166,32068,36104
Buy n Large_320_361,176930,807,641,371,166,32068,36104
Buy n Large_320_361,176293,807,641,371,166,32068,36104
Buy n Large_320_361,177288,807,641,371,166,32068,36104
Buy n Large_320_361,177558,807,641,371,166,32068,36104
Buy n Large_320_361,177736,807,641,371,166,32068,36104
Buy n Large_320_361,177692,807,641,371,166,32068,36104
Buy n Large_320_361,175398,807,641,371,166,32068,36104
Buy n Large_320_361,176923,807,641,371,166,32068,36104
Buy n Large_320_361,177071,807,641,371,166,32068,36104
Buy n Large_320_361,178039,807,641,371,166,32068,36104
Buy n Large_320_361,177070,807,641,371,166,32068,36104
Buy n Large_320_361,177941,807,641,371,166,32068,36104
Buy n Large_320_361,179138,807,641,371,166,32068,36104
Buy n Large_320_361,177074,807,641,371,166,32068,36104
Buy n Large_320_361,179241,807,641,371,166,32068,36104
Buy n Large_320_361,179139,807,641,371,166,32068,36104
Buy n Large_320_361,179165,807,641,371,166,32068,36104
Buy n Large_320_361,177795,807,641,371,166,32068,36104
Buy n Large_320_361,178634,807,641,371,166,32068,36104
Buy n Large_320_361,178876,807,641,371,166,32068,36104
Buy n Large_320_361,177421,807,641,371,166,32068,36104
Buy n Large_320_361,177690,807,641,371,166,32068,36104
Buy n Large_320_361,178382,807,641,371,166,32068,36104
Buy n Large_320_361,178496,807,641,371,166,32068,36104
Buy n Large_320_361,178635,807,641,371,166,32068,36104
Buy n Large_320_361,177494,807,641,371,166,32068,36104
Buy n Large_320_361,178088,807,641,371,166,32068,36104
Buy n Large_320_361,177691,807,641,371,166,32068,36104
Buy n Large_320_361,177737,807,641,371,166,32068,36104
Buy n Large_320_361,177793,807,641,371,166,32068,36104
Buy n Large_320_361,177693,807,641,371,166,32068,36104
Buy n Large_320_361,174886,807,641,371,166,32068,36104
Buy n Large_320_361,178041,807,641,371,166,32068,36104
Buy n Large_320_361,178728,807,641,371,166,32068,36104
Buy n Large_320_361,178465,807,641,371,166,32068,36104
Buy n Large_320_361,177149,807,641,371,166,32068,36104
Buy n Large_320_361,177559,807,641,371,166,32068,36104
Buy n Large_320_361,178129,807,641,371,166,32068,36104
Buy n Large_320_361,178583,807,641,371,166,32068,36104
Buy n Large_320_361,177749,807,641,371,166,32068,36104
Buy n Large_320_361,177560,807,641,371,166,32068,36104
Buy n Large_320_361,175507,807,641,371,166,32068,36104
Buy n Large_320_361,177797,807,641,371,166,32068,36104
Buy n Large_320_361,177750,807,641,371,166,32068,36104
Buy n Large_320_361,178090,807,641,371,166,32068,36104
Buy n Large_320_361,177799,807,641,371,166,32068,36104
Buy n Large_320_361,177944,807,641,371,166,32068,36104
Buy n Large_320_361,178793,807,641,371,166,32068,36104
Buy n Large_320_361,178800,807,641,371,166,32068,36104
Buy n Large_320_361,178944,807,641,371,166,32068,36104
Buy n Large_320_361,177879,807,641,371,166,32068,36104
Buy n Large_320_361,178147,807,641,371,166,32068,36104
Buy n Large_320_361,178792,807,641,371,166,32068,36104
Buy n Large_320_361,174723,807,641,371,166,32068,36104
Buy n Large_320_361,178497,807,641,371,166,32068,36104
Buy n Large_320_361,178508,807,641,371,166,32068,36104
Buy n Large_320_361,178515,807,641,371,166,32068,36104
Buy n Large_320_361,178925,807,641,371,166,32068,36104
Buy n Large_320_361,178941,807,641,371,166,32068,36104
Buy n Large_320_361,178038,807,641,371,166,32068,36104
Buy n Large_320_361,178237,807,641,371,166,32068,36104
Buy n Large_320_361,178238,807,641,371,166,32068,36104
Buy n Large_320_361,176599,807,641,371,166,32068,36104
Buy n Large_320_361,178511,807,641,371,166,32068,36104
Buy n Large_320_361,179240,807,641,371,166,32068,36104
Buy n Large_320_361,178795,807,641,371,166,32068,36104
Buy n Large_320_361,178995,807,641,371,166,32068,36104
Buy n Large_320_361,175293,807,641,371,166,32068,36104
Buy n Large_320_361,176267,807,641,371,166,32068,36104
Buy n Large_320_361,176270,807,641,371,166,32068,36104
Buy n Large_320_361,179166,807,641,371,166,32068,36104
Buy n Large_320_361,178298,807,641,371,166,32068,36104
Buy n Large_320_361,178462,807,641,371,166,32068,36104
Buy n Large_320_361,178297,807,641,371,166,32068,36104
Buy n Large_320_361,178633,807,641,371,166,32068,36104
Buy n Large_320_361,179244,807,641,371,166,32068,36104
Buy n Large_320_361,179295,807,641,371,166,32068,36104
Buy n Large_320_361,176596,807,641,371,166,32068,36104
