KEY,trip_id,trip_revenue,trip_cost,trip_distance,trip_orgn_zip,trip_dst_zip,MARGIN_RANK,must_take_flag,deadhead_cost,tour_id,tour_position,prior_two_trips,next_two_trips,prior_zip,next_zip,accepted
^3 RIVERS LOGIS-Ast/83210/33527,2942538,4800,4947,2440,83210,33527,1,False,0.0,3.0,171.0,[2969853 2977795],[2976482 2977331],83201,33830,1
^3 RIVERS LOGIS-Ast/83210/33564,2942539,4900,5016,2522,83210,33564,1,False,0.0,3.0,165.0,[2967172 2977817],[2970556 2981665],83201,33853,1
^3 RIVERS LOGIS-Ast/83274/33527,2942540,4800,4861,2441,83274,33527,1,False,0.0,5.0,70.0,[2978753 2977797],[2970774 2967170],83201,33853,1
^3 RIVERS LOGIS-Ast/83434/33527,2943747,4800,4764,2414,83434,33527,1,False,0.0,7.0,151.0,[2983067 2977900],[2970539 2971913],83401,33853,1
^ALLEN LUND COM-Ast/18106/27302,2943749,800,944,462,18106,27302,1,False,146.7779998779297,5.0,94.0,[2972084 2971949],[2982880 2970861],76010,28697,1
^ALLEN LUND COM-Ast/22601/32063,2947016,1000,1465,767,22601,32063,1,False,0.0,3.0,15.0,[2976424 2976627],[2983257 2971562],22601,12095,1
^ALLEN LUND COM-Ast/22602/32063,2953151,988,1476,767,22602,32063,1,False,0.0,4.0,160.0,[2973021 2976685],[2985015 2982202],22601,12302,1
^ALLEN LUND COM-Ast/22602/32063,2953159,988,1476,767,22602,32063,2,False,0.0,6.0,35.0,[2983179 2976600],[2983292 2971430],22601,12095,1
^ALLEN LUND COM-Ast/22602/32063,2953152,988,1476,767,22602,32063,3,False,0.0,5.0,391.0,[2972987 2976665],[2983379 2982200],22601,12095,1
^ALLEN LUND COM-Ast/22602/32063,2952209,988,1476,767,22602,32063,4,False,0.0,3.0,55.0,[2972984 2976667],[2983562 2984045],22601,12095,1
^ALLEN LUND COM-Ast/22602/33881,2953964,1200,1791,932,22602,33881,1,False,0.0,5.0,552.0,[2972999 2976662],[2970540 2971871],22601,33853,1
^ALLEN LUND COM-Ast/22602/76504,2954146,1800,2657,1395,22602,76504,1,False,0.0,5.0,317.0,[2973024 2976624],[2978159 2971229],22601,76063,1
^ALLEN LUND COM-Ast/28704/54660,2954185,1450,1830,899,28704,54660,1,False,130.94900512695312,3.0,70.0,[2967030 2976238],[2966052 2984760],29607,54603,1
^ALLEN LUND COM-Ast/28704/54660,2954535,1450,1830,899,28704,54660,2,False,130.94900512695312,4.0,135.0,[2981863 2977696],[2966049 2970021],29607,54603,1
^ALLEN LUND COM-Ast/28704/75160,2955086,1550,1858,942,28704,75160,1,False,130.94900512695312,5.0,531.0,[2966854 2977680],[2968432 2967058],29645,75134,1
^ALLEN LUND COM-Ast/55024/46011,2955087,1400,1397,619,55024,46011,1,False,0.0,7.0,29.0,[2979583 2969209],[2983050 2976835],55075,46052,1
^ALLEN LUND COM-Ast/75227/22942,2955088,2817,2635,1223,75227,22942,1,False,0.0,4.0,496.0,[2970546 2971930],[2966984 2969645],75236,22952,1
^ALLEN LUND COM-Ast/75227/22942,2955089,2817,2635,1223,75227,22942,2,False,0.0,4.0,46.0,[2972188 2971924],[2972061 2971546],75236,22952,1
^ALLEN LUND COM-Ast/75227/22942,2955091,2817,2635,1223,75227,22942,3,False,0.0,6.0,4.0,[2971236 2971920],[2972073 2977731],75236,22952,1
^ALLEN LUND COM-Ast/83350/13164,2955368,5300,4866,2184,83350,13164,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/99350/21770,2956551,5775,5827,2621,99350,21770,1,False,,,,,,,,0
^ALLY LOGISTICS-Ast/75050/17517,2956766,3000,2953,1442,75050,17517,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/12301/32220,2956955,1700,2145,1095,12301,32220,1,False,246.06900024414062,5.0,647.0,[2983287 2971370],[2969598 2981278],32055,32218,1
^ARRIVE LOGISTI-Ast/13069/61008,2958214,1100,1559,747,13069,61008,1,False,0.0,5.0,412.0,[2971219 2974926],[2981921 2978161],13027,60134,1
^ARRIVE LOGISTI-Ast/14589/32218,2958215,1900,2109,1084,14589,32218,1,False,15.829000473022461,5.0,213.0,[2984070 2980459],[2972159 2974078],14424,32254,1
^ARRIVE LOGISTI-Ast/14589/76033,2958238,2300,2880,1525,14589,76033,1,False,0.0,5.0,310.0,[2981850 2978251],[2974228 2978157],14505,19801,1
^ARRIVE LOGISTI-Ast/14589/8816,2958542,800,696,311,14589,08816,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/14891/27105,2958543,1050,1121,575,14891,27105,1,False,326.65301513671875,9.0,4.0,[2976858 2975818],[2982882 2970560],12156,28697,1
^ARRIVE LOGISTI-Ast/17304/61081,2958544,1025,1725,769,17304,61081,1,False,51.80400085449219,3.0,149.0,[2974872 2968254],[2977386 2980184],17603,60123,1
^ARRIVE LOGISTI-Ast/18106/30349,2958989,1200,1517,810,18106,30349,1,False,0.0,4.0,463.0,[2981643 2972303],[2977726 2972128],18103,30253,1
^ARRIVE LOGISTI-Ast/18640/30071,2959169,1125,1498,807,18640,30071,1,False,66.19400024414062,0.0,163.0,[2972808 2978124],[2967011 2982215],18466,30213,1
^ARRIVE LOGISTI-Ast/18974/31063,2959170,1555,1842,888,18974,31063,1,False,355.4330139160156,2.0,60.0,[2984727 2966553],[2969470 2970585],28027,30421,1
^ARRIVE LOGISTI-Ast/22827/81501,2959286,2850,3495,1838,22827,81501,1,False,0.0,3.0,25.0,[2974826 2968978],[2979506 2977899],22841,80401,1
^ARRIVE LOGISTI-Ast/22827/83705,2959788,3600,4460,2364,22827,83705,1,False,0.0,4.0,127.0,[2980646 2972148],[2971024 2969698],22841,83634,1
^ARRIVE LOGISTI-Ast/28715/12118,2959789,2000,1818,830,28715,12118,1,False,130.94900512695312,5.0,374.0,[2970503 2965353],[2983471 2972900],29687,12095,1
^ARRIVE LOGISTI-Ast/28715/13126,2960360,2000,1767,810,28715,13126,1,False,130.94900512695312,5.0,14.0,[2970565 2976261],[2966453 2981481],29607,13204,1
^ARRIVE LOGISTI-Ast/29209/8865,2960574,1800,1467,662,29209,08865,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/43125/22942,2960623,1010,900,412,43125,22942,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/54909/24210,2960674,2250,1925,826,54909,24210,1,False,119.86869812011719,4.0,303.0,[2978169 2968179],[2969069 2978209],54115,37650,1
^ARRIVE LOGISTI-Ast/55395/17036,2960824,3000,2665,1123,55395,17036,1,False,0.0,5.0,164.0,[2968155 2967056],[2979634 2976560],55379,17304,1
^ARRIVE LOGISTI-Ast/56308/32117,2961100,3650,3474,1695,56308,32117,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/56387/75426,2961328,1900,2019,962,56387,75426,1,False,128.21490478515625,0.0,201.0,[2976978 2978421],[2969211 2977243],56452,75062,1
^ARRIVE LOGISTI-Ast/7039/56013,2961329,1650,2406,1210,07039,56013,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/7201/33069,2961355,1700,2407,1246,07201,33069,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/7201/33172,2961678,1800,2477,1273,07201,33172,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/75062/80110,2961721,1850,1636,781,75062,80110,1,False,,,,,,,,0
