KEY,trip_id,trip_revenue,trip_cost,trip_distance,trip_orgn_zip,trip_dst_zip,MARGIN_RANK,must_take_flag,deadhead_cost,tour_id,tour_position,prior_two_trips,next_two_trips,prior_zip,next_zip,accepted
^3 RIVERS LOGIS-Ast/83210/33527,2942538,4800,4947,2440,83210,33527,1,False,0.0,3.0,143.0,[2970891 2977816],[2970573 2976009],83201,33853,1
^3 RIVERS LOGIS-Ast/83210/33564,2942539,4900,5016,2522,83210,33564,1,False,0.0,1.0,84.0,[2977530 2977794],[2970519 2980827],83201,33853,1
^3 RIVERS LOGIS-Ast/83274/33527,2942540,4800,4861,2441,83274,33527,1,False,0.0,0.0,471.0,[2971126 2977799],[2970539 2971602],83201,33853,1
^3 RIVERS LOGIS-Ast/83434/33527,2943747,4800,4764,2414,83434,33527,1,False,377.5935974121094,4.0,2.0,[2969781 2974675],[2970562 2967617],84104,33853,1
^ALLEN LUND COM-Ast/18106/27302,2943749,800,944,462,18106,27302,1,False,146.7779998779297,2.0,846.0,[2972019 2972398],[2975022 2979608],76010,28697,1
^ALLEN LUND COM-Ast/22601/32063,2947016,1000,1465,767,22601,32063,1,False,135.26600646972656,1.0,581.0,[2969946 2974953],[2983471 2978124],17225,12095,1
^ALLEN LUND COM-Ast/22602/32063,2953151,988,1476,767,22602,32063,1,False,135.26600646972656,0.0,504.0,[2976073 2974977],[2983370 2974849],17225,12095,1
^ALLEN LUND COM-Ast/22602/32063,2953159,988,1476,767,22602,32063,2,False,135.26600646972656,1.0,683.0,[2970859 2975035],[2983523 2973025],17225,12095,1
^ALLEN LUND COM-Ast/22602/32063,2953152,988,1476,767,22602,32063,3,False,135.26600646972656,4.0,33.0,[2976037 2974992],[2983231 2976692],17225,12095,1
^ALLEN LUND COM-Ast/22602/32063,2952209,988,1476,767,22602,32063,4,False,135.26600646972656,2.0,857.0,[2967204 2974975],[2983467 2980412],17225,12095,1
^ALLEN LUND COM-Ast/22602/33881,2953964,1200,1791,932,22602,33881,1,False,135.26600646972656,3.0,147.0,[2976009 2975004],[2970556 2978994],17225,33853,1
^ALLEN LUND COM-Ast/22602/76504,2954146,1800,2657,1395,22602,76504,1,False,135.26600646972656,0.0,360.0,[2968679 2974986],[2981227 2977422],17225,77864,1
^ALLEN LUND COM-Ast/28704/54660,2954185,1450,1830,899,28704,54660,1,False,130.94900512695312,0.0,514.0,[2974581 2976239],[2980081 2981007],29607,54702,1
^ALLEN LUND COM-Ast/28704/54660,2954535,1450,1830,899,28704,54660,2,False,130.94900512695312,2.0,243.0,[2975585 2976265],[2979941 2979757],29607,54702,1
^ALLEN LUND COM-Ast/28704/75160,2955086,1550,1858,942,28704,75160,1,False,130.94900512695312,6.0,0.0,[2978349 2977680],[2968989 2977534],29645,75181,1
^ALLEN LUND COM-Ast/55024/46011,2955087,1400,1397,619,55024,46011,1,False,0.0,3.0,76.0,[2981404 2969208],[2968201 2972245],55075,47909,1
^ALLEN LUND COM-Ast/75227/22942,2955088,2817,2635,1223,75227,22942,1,False,0.0,1.0,251.0,[2966854 2977693],[2966993 2972282],75211,27292,1
^ALLEN LUND COM-Ast/75227/22942,2955089,2817,2635,1223,75227,22942,2,False,0.0,7.0,1.0,[2972010 2972391],[2972010 2972391],75236,22841,1
^ALLEN LUND COM-Ast/75227/22942,2955091,2817,2635,1223,75227,22942,3,False,0.0,1.0,692.0,[2978131 2966603],[2966980 2978112],75235,22841,1
^ALLEN LUND COM-Ast/83350/13164,2955368,5300,4866,2184,83350,13164,1,False,0.0,2.0,879.0,[2967711 2977845],[2976661 2972018],83303,13421,1
^ALLEN LUND COM-Ast/99350/21770,2956551,5775,5827,2621,99350,21770,1,False,187.7895050048828,4.0,10.0,[2977129 2969214],[2972607 2965796],99212,22841,1
