KEY,trip_id,trip_revenue,trip_cost,trip_distance,trip_orgn_zip,trip_dst_zip,MARGIN_RANK,must_take_flag,deadhead_cost,tour_id,tour_position,prior_two_trips,next_two_trips,prior_zip,next_zip,accepted
^3 RIVERS LOGIS-Ast/83210/33527,2942538,4800,4947,2440,83210,33527,1,False,,,,,,,,0
^3 RIVERS LOGIS-Ast/83210/33564,2942539,4900,5016,2522,83210,33564,1,False,,,,,,,,0
^3 RIVERS LOGIS-Ast/83274/33527,2942540,4800,4861,2441,83274,33527,1,False,,,,,,,,0
^3 RIVERS LOGIS-Ast/83434/33527,2943747,4800,4764,2414,83434,33527,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/18106/27302,2943749,800,944,462,18106,27302,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/22601/32063,2947016,1000,1465,767,22601,32063,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/32063,2953151,988,1476,767,22602,32063,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/32063,2953159,988,1476,767,22602,32063,2,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/32063,2953152,988,1476,767,22602,32063,3,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/32063,2952209,988,1476,767,22602,32063,4,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/33881,2953964,1200,1791,932,22602,33881,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/76504,2954146,1800,2657,1395,22602,76504,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/28704/54660,2954185,1450,1830,899,28704,54660,1,False,130.94900512695312,0.0,504.0,[2975230 2976240],[2976563 2972506],29607,55912,1
^ALLEN LUND COM-Ast/28704/54660,2954535,1450,1830,899,28704,54660,2,False,130.94900512695312,2.0,676.0,[2970904 2965353],[2967097 2976282],29687,54601,1
^ALLEN LUND COM-Ast/28704/75160,2955086,1550,1858,942,28704,75160,1,False,130.94900512695312,0.0,706.0,[2970531 2976236],[2968989 2968764],29607,75181,1
^ALLEN LUND COM-Ast/55024/46011,2955087,1400,1397,619,55024,46011,1,False,9.785200119018555,2.0,318.0,[2980731 2978987],[2981253 2981811],55125,47978,1
^ALLEN LUND COM-Ast/75227/22942,2955088,2817,2635,1223,75227,22942,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/75227/22942,2955089,2817,2635,1223,75227,22942,2,False,,,,,,,,0
^ALLEN LUND COM-Ast/75227/22942,2955091,2817,2635,1223,75227,22942,3,False,,,,,,,,0
^ALLEN LUND COM-Ast/83350/13164,2955368,5300,4866,2184,83350,13164,1,False,0.0,2.0,597.0,[2972329 2977841],[2969763 2976736],83303,13204,1
^ALLEN LUND COM-Ast/99350/21770,2956551,5775,5827,2621,99350,21770,1,False,,,,,,,,0
^ALLY LOGISTICS-Ast/75050/17517,2956766,3000,2953,1442,75050,17517,1,False,67.20130157470703,0.0,1536.0,[2976881 2977142],[2985186 2969191],76106,19801,1
^ARRIVE LOGISTI-Ast/12301/32220,2956955,1700,2145,1095,12301,32220,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/13069/61008,2958214,1100,1559,747,13069,61008,1,False,0.0,3.0,21.0,[2984533 2973100],[2978420 2969061],13021,53594,1
^ARRIVE LOGISTI-Ast/14589/32218,2958215,1900,2109,1084,14589,32218,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/14589/76033,2958238,2300,2880,1525,14589,76033,1,False,0.0,0.0,1510.0,[2981865 2985784],[2982215 2968213],14505,19801,1
^ARRIVE LOGISTI-Ast/14589/8816,2958542,800,696,311,14589,08816,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/14891/27105,2958543,1050,1121,575,14891,27105,1,False,148.2169952392578,2.0,215.0,[2978249 2977701],[2982839 2968538],17756,28697,1
^ARRIVE LOGISTI-Ast/17304/61081,2958544,1025,1725,769,17304,61081,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/18106/30349,2958989,1200,1517,810,18106,30349,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/18640/30071,2959169,1125,1498,807,18640,30071,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/18974/31063,2959170,1555,1842,888,18974,31063,1,False,99.29100036621094,0.0,572.0,[2982687 2978411],[2982096 2980737],70094,31092,1
^ARRIVE LOGISTI-Ast/22827/81501,2959286,2850,3495,1838,22827,81501,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/22827/83705,2959788,3600,4460,2364,22827,83705,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/28715/12118,2959789,2000,1818,830,28715,12118,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/28715/13126,2960360,2000,1767,810,28715,13126,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/29209/8865,2960574,1800,1467,662,29209,08865,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/43125/22942,2960623,1010,900,412,43125,22942,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/54909/24210,2960674,2250,1925,826,54909,24210,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/55395/17036,2960824,3000,2665,1123,55395,17036,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/56308/32117,2961100,3650,3474,1695,56308,32117,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/56387/75426,2961328,1900,2019,962,56387,75426,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/7039/56013,2961329,1650,2406,1210,07039,56013,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/7201/33069,2961355,1700,2407,1246,07201,33069,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/7201/33172,2961678,1800,2477,1273,07201,33172,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/75062/80110,2961721,1850,1636,781,75062,80110,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/75134/80011,2962202,1800,1721,805,75134,80011,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/75236/53177,2962223,1500,1895,982,75236,53177,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/75236/55432,2962546,1500,1815,953,75236,55432,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/76063/7202,2962547,3100,3263,1576,76063,07202,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/76207/8060,2962548,3100,3261,1503,76207,08060,1,False,,,,,,,,0
^ARRIVE LOGISTI-Ast/77001/76207,2962611,650,586,279,77001,76207,1,False,0.0,0.0,1413.0,[2977850 2968700],[2967258 2976560],77038,75090,1
^ARRIVE LOGISTI-Ast/77066/80401,2962781,2500,2200,1049,77066,80401,1,False,0.0,2.0,508.0,[2976929 2978424],[2979149 2970979],77038,80401,1
^ARRIVE LOGISTI-Ast/8104/61008,2963770,1200,1857,837,08104,61008,1,False,,,,,,,,0
