KEY,trip_id,trip_revenue,trip_cost,trip_distance,trip_orgn_zip,trip_dst_zip,MARGIN_RANK,must_take_flag,deadhead_cost,tour_id,tour_position,prior_two_trips,next_two_trips,prior_zip,next_zip,accepted
^3 RIVERS LOGIS-Ast/83210/33527,2942538,4800,4947,2440,83210,33527,1,False,0.0,1.0,267.0,[2983067 2977814],[2978253 2977714],83201,33853,1
^3 RIVERS LOGIS-Ast/83210/33564,2942539,4900,5016,2522,83210,33564,1,False,0.0,7.0,50.0,[2971124 2977801],[2970651 2977168],83201,33853,1
^3 RIVERS LOGIS-Ast/83274/33527,2942540,4800,4861,2441,83274,33527,1,False,0.0,2.0,602.0,[2985909 2977800],[2970547 2977726],83201,33853,1
^3 RIVERS LOGIS-Ast/83434/33527,2943747,4800,4764,2414,83434,33527,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/18106/27302,2943749,800,944,462,18106,27302,1,False,146.7779998779297,1.0,82.0,[2983252 2971543],[2981870 2969209],76010,28677,1
^ALLEN LUND COM-Ast/22601/32063,2947016,1000,1465,767,22601,32063,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/32063,2953151,988,1476,767,22602,32063,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/32063,2953159,988,1476,767,22602,32063,2,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/32063,2953152,988,1476,767,22602,32063,3,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/32063,2952209,988,1476,767,22602,32063,4,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/33881,2953964,1200,1791,932,22602,33881,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/22602/76504,2954146,1800,2657,1395,22602,76504,1,False,,,,,,,,0
^ALLEN LUND COM-Ast/28704/54660,2954185,1450,1830,899,28704,54660,1,False,130.94900512695312,2.0,1046.0,[2982249 2977680],[2980127 2969869],29645,54702,1
^ALLEN LUND COM-Ast/28704/54660,2954535,1450,1830,899,28704,54660,2,False,130.94900512695312,2.0,770.0,[2982756 2977696],[2981702 2980644],29607,54701,1
^ALLEN LUND COM-Ast/28704/75160,2955086,1550,1858,942,28704,75160,1,False,130.94900512695312,6.0,3.0,[2974763 2976259],[2969010 2977500],29607,75181,1
^ALLEN LUND COM-Ast/55024/46011,2955087,1400,1397,619,55024,46011,1,False,9.785200119018555,1.0,444.0,[2978982 2978993],[2981250 2979891],55125,47978,1
^ALLEN LUND COM-Ast/75227/22942,2955088,2817,2635,1223,75227,22942,1,False,0.0,0.0,223.0,[2972018 2972673],[2971884 2974694],75236,22841,1
